MARCA,AÑO,SUBMARCA,G/Km,Descripción,Venta/Contado,Compra/Lista,extra 1,,,extra 2,,,extra 3,,,extra 4,,,extra 5,,,extra 6,,,extra 7,,,extra 8,,,extra 9,,,extra 10,
Acura,2019,RDX,D,"5 pts. A-Spec, 2.0T, TA, piel, QCP, GPS, f. niebla, RA-20","544,500","473,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2018,RDX,D,"5 pts. V6, 3.5l, TA, piel, QC, GPS, f. Led, RA-18","407,900","354,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2017,RDX,D,"5 pts. V6, 3.5l, TA, piel, QC, GPS, f. Led, RA-18","358,300","310,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2016,RDX,D,"5 pts. V6, 3.5l, TA, piel, QC, GPS, f. Led, RA-18","299,700","259,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2015,RDX,D,"5 pts. V6, 3.5l, TA, piel, QC, GPS, RA-18","240,500","207,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2014,RDX,D,"5 pts. V6, 3.5l, TA, piel, QC, GPS, RA-18,","208,700","179,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2013,RDX,D,"5 pts. V6, 3.5l, TA, piel, QC, GPS, RA-18","182,000","156,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2012,RDX,D,"5 pts. L4, 2.3T, TA, piel, RA-18","161,400","138,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2011,RDX,D,"5 pts. L4, 2.3T, TA, piel, RA-18","144,300","123,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,RDX,D,"5 pts. L4, 2.3T, TA, piel, RA-18","125,400","106,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2009,RDX,D,"5 pts. L4, 2.3T, TA, piel, RA-18","105,300","89,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2011,RL,E,"4 pts. TA, RA-17","171,100","146,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,RL,E,"4 pts. TA, RA-17","141,600","121,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2009,RL,E,"4 pts. TA, RA-17","122,500","104,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2015,RLX,E,"4 pts. 3.5l, TA, piel, QC, GPS, RA-19","360,800","310,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2014,RLX,E,"4 pts. 3.5l, TA, piel, QC, GPS, RA-19","278,900","239,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2013,TL,D,"4 pts. 3.5l, TA, RA-17","160,400","138,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2013,TL,D,"4 pts. 3.7l, TA, RA-18, 4x4","198,000","170,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2012,TL,D,"4 pts. 3.5l, TA, RA-17","143,000","122,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2012,TL,D,"4 pts. 3.7l, TA, RA-18, 4x4","172,700","148,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2011,TL,D,"4 pts. 3.5l, TA, RA-17","126,800","108,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2011,TL,D,"4 pts. 3.7l, TA, RA-18, 4x4","151,700","129,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,TL,D,"4 pts. 3.5l, TA, RA-17","107,400","91,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2010,TL,D,"4 pts. 3.7l, TA, RA-18, 4x4","128,900","110,100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2009,TL,D,"4 pts. 3.5l, TA, RA-17","95,300","81,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2009,TL,D,"4 pts. 3.7l, TA, RA-18, 4x4","111,000","94,600",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2020,TLX,0,"4 pts. Advance, 3.5l, TA, GPS, RA-18","714,900",0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2019,TLX,C,"4 pts. A-Spec, 2.4l, TA, GPS, RA-19","450,500","390,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2019,TLX,C,"4 pts. Advance, 3.5l, TA, GPS, RA-18","483,700","418,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2018,TLX,C,"4 pts. Advance, 3.5l, TA, GPS, RA-18","423,100","366,300",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2018,TLX,C,"4 pts. A-Spec, 3.5l, TA, GPS, RA-19","426,400","368,200",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2017,TLX,C,"4 pts. Tech, 2.4l, TA, GPS, RA-17","286,200","247,400",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2017,TLX,C,"4 pts. Advance, 3.5l, TA, GPS, RA-18","337,500","290,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2016,TLX,C,"4 pts. Tech, 2.4l, TA, GPS, RA-17","251,400","216,900",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2016,TLX,C,"4 pts. Advance, 3.5l, TA, GPS, RA-18","298,400","256,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2015,TLX,C,"4 pts. Tech, 2.4l, TA, GPS, RA-17","224,700","193,500",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2015,TLX,C,"4 pts. Advance, 3.5l, TA, GPS, RA-18","259,200","222,700",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2013,TSX,D,"4 pts. 2.4l, TA, RA-17","144,200","123,800",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acura,2013,TSX,D,"4 pts. 3.5l, TA, RA-18","155,400","133,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
